,comment,Gioco,URL,Video
3,I don't care if it feels like assassin's creed game or not i am going to enjoy it as Vikings game. Also make my character look like ragnar lothbrok.,Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
4,"10 year old historians:

This game is roughly 80% accurate, my dad was there in the Battle of Berlin.",Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
5,"Eivor: Odin is with us!
Kratos: Not for long!",Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
6,Next up: Assassin’s Creed- Samurai,Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
7,Can’t wait to spend 70 hours running around collecting all 5000 pieces of Odins beard.,Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
8,"Guy gets his leg stabbed by a sword:
HP: 999/1000",Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
9,"2022: Assassin’s Creed : Pechenegi
2025: Assassin’s Creed : Cossacks
2028: Assassin’s Creed : Third Reich
2032: Assassin’s Creed : The Death of Stalin",Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
10,The Templar guy with the face scars absolutely shat bricks when he saw that hidden blade,Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
11,"Everyone: OMG when did assassin's creed change so much?

Assassin's Creed Origins: Am i a joke to you?",Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
12,First thing I’ll do once I get to England is find me a priest named Athelstan.,Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
13,"Guy tries to kill Eivor
Eivor: I’m going to do what’s called a programer move",Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
14,Imagine kratos comes out of no where in this and kills you,Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
15,Everybody loves Vikings until they sack your village and take your daughters,Assassin's Creed Valhalla,https://www.youtube.com/watch?v=ssrNcwxALS4,Trailer
