,comment,Gioco,URL,Video
3,Hope you guys are as excited for Death Stranding as I am! Drop a like on this new series for Norman's amazing Fetus,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
4,"Jack: “Finally, we’re gonna find out what Death Stranding is actually about”

Kojima: Well yes, but actually no.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
5,"I love how at the start he says, “I’m not to sure what you do in this game”. Little did he know that he would become a Single father that works at FedEx.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
6,"""The world was different when I was a kid. America was a country. Anyone could go anywhere the damn well pleased.'

Laughs in quarantine.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
7,I never thought I’d hear Norman Reedus grunt-breathe more then I did in The Walking Dead,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
8,"You could’ve called this video

“Darryl Dixon and his child of fiction”",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
9,"God of War: burn mom and bring her ashes to top of mountain to spread them.

Death Stranding: carry mom's body to top of mountain to burn her to ashes",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
10,"Jack : “Can’t believe I’m playing death stranding, it’s so pretty” 
Me : watching on 480p",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
11,"""As you know, this woman's your mother"" has got to be one of the worst As You Knows in the history of gaming.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
12,"Jack: Has been theorising things about this game for months

Me: me not even knowing where this came from and how I havent heard of it",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
13,"Jack: Wheres my boy.

Me: Hello I'm Conner the android sent by cyberlife.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
14,"Fragile: I'm Fragile
Jack: ""I'll try not to break it then"" laughs at himself

Me: ""ah finally, some good comedy""",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
15,"Neck to toe, just gotta mention, not head, neck to toe.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
16,"rewatching these gives me so many memories, even though this was just a year ago (will be a year in november). there was no ""corona"" in sight and i though school at that point was the worst EVER. i remember watching this in the background while doing homework but then wanting to see the gameplay and switching over, ending up watching the whole episode with homework still undone. anyways, thanks for the memories sean, even if it's a year, two years, or five years ago. you even existing and putting in the effort to put out these videos for both yourself and us to see means a lot to me and so many other people. i hope you know and remind yourself that you matter and help so many people on a daily basis by just being yourself on the internet, lol <3",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
17,"I just noticed/realised something...

Everything that Epic Games showed off in the PS5 Unreal Engine tech demo and everything that they said the new engines could do...this game already can do that",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
18,"NOrman Reedus probably looks confused, because  he was ACTUALLY confused. Imagine being pitched this concept? Reading these lines? He probably had no idea what was actually going on xD ""sure I'll read whatever if you pay me..."" xD jk Norman Reedus I'm sure you take ur jobs more srsly..",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
19,"""What do you do for a living?""
""Oh I uh, deliver babies, and drugs""
""Oh you're a doctor?""
""...not exactly""",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
20,"""In the distant future, UPS is King""


didn't realize 5 months counted as 'distant future'.... good to know!",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
21,"Game character: ""Sam, it's me, Deadman.""
Jack: ""Alive and well I see.""
Anyone else find this hilarious?",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
22,"You'd be surprised to know how common the name ""Mads Mikkelsen"" is in Scandinavia",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
23,"Jack: Why is Guillermo called Deadman?

Deadman: I was a coroner",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
24,"First delivery: drugs
Second deilvery: a dead body
Third delivery: fetus",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
25,"Jack: in the distant future UPS is king.
Me a person watching in 2020: you have no idea.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
26,"As someone who has a bit of the same phobia, I basically freaked when the mom touched him... heart started racing like nobody's business",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
27,"""I could put Fart up on Twitter and get more likes than that"" Jack 2019 ( I think ) 🤣",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
28,"""Curious as to why they did America instead of some made up country""

That's because America is the center of distraction XD",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
29,"“The plastic we’re wearing is not melting”

Not super iconic but that sentence got some weight.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
30,“DING DING DING TOP OF MORNING” that hit different years later,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
31,"I noticed the same thing about how they recorded every little sound.
Made me wish I had good speakers for my TV.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
32,"It's weird watching this now. ""And couriers like yourself got put up on a pedestal"" ""in the distant future ups is king"" it's too real man",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
33,"Jack: Tries to pee
Norman/Sam: Doing that here would be a bad idea.
Also Jack: Why can’t I pee? I can’t pee guys.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
34,"Jack: ""in the distant future UPS is king"" 
Me, watching in April 2020: not as distant as you may think",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
35,Sam wasn't crying. He was sweating through his eyes,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
36,"to answer his question about the dream catcher: from what i remember at least, the bead in the middle (or lump of gold looking shit in this case"" is supposed to represent a spider coming to eat the nightmares trapped in the web made up by the dream catcher.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
37,"Game: ""My name is Fragile""
Sean: ""I try not to break it then.""
Ahahahahha.
Took me the third watch of this play through to notice the joke.... and it made  my day.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
38,"No one: 

Not even a caterpillar:",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
39,"Me watches this with 360p, 
Jack: wow that’s so cool
Me: what’s he talking about",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
40,me: yooo this man looks like dayral dixon from the walking dead,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
41,"Did no one else notice in the beginning at his first delivery he was wearing the necklace with the metal info thingies, but it wasn't until the cut scene that he had the dream catcher on instead?

Also Jack when you kept trying to make your character pee apparently you weren't paying attention. He kept telling you no it's not time for that and then it wasn't appropriate to do where he was.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
42,"1:29:10
Jack: starts moving in the direction of the BTs
Me: angry gamer screeching",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
43,"Game: ""This let's you see the safest Route""
Jack: Immediately goes into the unsafest Route",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
44,The monsters that were stalking Norman in the beginning remind me of that part 4 stand in jojo that could suck people’s nutrients with the stands feet.,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
45,Little did Sean know is that he's actually playing the first strand-type game.,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
46,Copyright infringement: Sam looks like Daryl from the walking dead,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
47,"Just got this recommended in my feed again. Its been a while so sure, why not. Good pick Youtube ;-)",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
48,"""Imma keep calling u Norman from now on""
Later
""Careful Sam""
""Sam""",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
49,"I lost it when Seán looked at BB and said ""Hello father"" lmao",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
50,I like how in the walking dead daryl's mom died in a house fire and in this she was cremated😂😂,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
51,The guy jacks playing he looks like Daryl from the walking dead,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
52,"""wtf is going on"" was one of my constant thoughts throughout this",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
53,Suddenly this scenario doesn’t seem so unreasonable.,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
54,"""Why do you not have an incinerator in the building?""
Immediately forgot about ""chiral"" junk getting in the air",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
55,"“In the distant future UPS is king” well here I am in the distant future and this game is basically the rona, but on acid",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
56,"Fragile: “I got soaked from neck to toe”
Sean: “Head to toe? But your face-“",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
57,When a game has so little gameplay that they had to make walking harder,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
58,"watches two hour video on this game 
me: still has no idea what this game is about",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
59,I came here after watching the mocap of Death Stranding where Norman rode a wooden motorcycle. Best way to find this game,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
60,Sam and i reacted the same way at the same time when the baby hit the glass lmaoo. We were like wtf u doing child,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
61,i lowkey thought that there was a man in a dress in the thumbnail.,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
62,"I love how those things look like big versions of tardigrades! That was random, I don't know if anybody else thought that too.",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
63,"Sean: ""the silhouettes are so cool"" 
Me with my shitty screen: yeah same so cool totally can see that",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
64,"as soon as the butts got shown jack must've been like: ""well i'm getting demonetized today""",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
65,Norman “ fetus “ seriously looks like a younger version of Clancy brown,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
66,I could’ve sworn she had spikes on her jacket In the first cutscene.,Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
67,"Bruh, still big salty about this being the replacement for silent hills",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
68,"""Shed the baggage of your parents to run the freest you ever will."" Thank you for that lovely life lesson, Sean. 1:33:39",Death Stranding,https://www.youtube.com/watch?v=_X579M7shYU,Gameplay
