,comment,Gioco,URL,Video
3,How our parents got to school according to their stories,Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
4,"Sony: So, how much context should we give the players?

Kojima: No.",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
5,"Kojima: You know how there were parts in metal gear that weren’t weird?
Employee: Yeah
Kojima: We’re not doing that this time",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
6,"2019: This game makes no sense?! 

2020 Pandemic: ...Ok...this game makes sense now...",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
7,"Kojima: So what's this game about?


Interviewer: wait what",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
8,"Interviewer: Mr Kojima, what about the baby in the jar and the monster made from nightmare tar?

Hideo Kojima: Did you see the ladders?",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
9,I just want to know who’s the English interpreter was for Kojima that had to listen to this story then explain it to the American actors. That’s the real MVP,Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
10,"Wow, looking back, the trailers absolutely told us about what the game is.",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
11,"6:47 ""It's so hard to form connections when you can't shake hands""
Listening to this in March 2020 makes me feel that Kojima is a prophet.",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
12,Anyone else feels like you just watched trailer for 5 different games?,Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
13,"Game Developer: Kojima-san, please... We've been coding, writing, and designing this game for months! Could you please just tell us what this game is about?

Kojima: You're fired",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
14,This makes Inception look like an elementary school play.,Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
15,Norman should Reedus the backstory of this game,Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
16,"People who don't play games: What?
People who do play games: What?
Kojima: What? Oh wait.",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
17,"Normal media: show more content= spoiling
Kojima Media: show more content= make you more confused",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
18,"This comment section has made me cry laughing more times than i have in 365 day's, this fan base is full of comedians",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
19,"You had me at portable pickled fetus backpack plug in cord black smoke jar portal to hell thing,",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
20,"Me: watches death stranding trailer

My mom late at night : It's late go to sleep.",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
21,"audience: okay this looks cool but what the hell is going on?
kojima: we actually don't know ourselves",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
22,I have a better understanding on quantum physics than I do of this game.,Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
23,"Can't help but imagine how Kojima got this crazy casting together :


Kojima : Listen I can't really tell you about the story right now, but there's gonna be portable extendable ladders in this game.",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
24,"Fans: Please tell us about your game! 

Kojima: performs an ancient ritualistic tribe dance filled with grunts, screams, and undistinguishable singing",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
25,"Repairman walks in with a ladder: 
Kojima:  perfect..",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
26,"reveal trailer drops
Don't worry, we will know what this game is once there are more trailers dropping
VGA trailer drops
Don't worry, we will know what this game is once there is a gameplay trailer dropping",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
27,"Ah, nice to see a fresh new survival racing farming horror RPG adventure puzzle magic platformer RTS dating sim arcade shooter sci-fi hack n' slash scientist simulator game from Kojima",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
28,"I’m hoping/predicting that after Death Stranding’s release, Kojima is going make enough money to buy the gaming rights for Silent Hill from Konami",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
29,"""WE NEED TO REUNITE SOCIETY!""

""WHAT?""

""I SAID WE NEED TO REUNITE SOCIETY!""

""I CAN´T HEAR YOU!""",Death Stranding,https://www.youtube.com/watch?v=Gu8X7vM3Avw,Trailer
