,comment,Gioco,URL,Video
3,"Growing up with this game when I was like 10 to now playing it as a dad is wild. I appreciate any support you drop on this first video and if we reach like 30k to 40k likes I’ll upload this series fast!

Winners: ",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
4,A moment of silence for everyone that loved the original and didn’t live to see this game released. Rest In Peace.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
5,Congratulations Dad,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
6,The transition of the music is seamless,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
7,Brad is a father now?! Dude i'm happy but so trippy that i watched him when i was 12 and these years went by so fast that he has a child now.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
8,"He said groovy, oh no the dad jokes already settled in.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
9,"And with the birth of Brad’s Daughter, The Rad Dad is born",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
10,"He's now a symbol of games that exist for decades and come out as rare masterpieces: 
Played in childhood/teenage, now has a family with a daughter.

Edit: Guess how many grand children will he have when Half-Life 3 might be released?",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
11,"""I got this email the night she was born, so we named her Aerith!""",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
12,"Everything from the visuals to the music of this game is beautiful, this is definitely one of the more well-made remakes.  Congrats on your daughter, Brad.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
13,Brad has really grown over the years. I can't believe he is a dad now. I hope his daughter grows up well and I hope Brad still makes these awesome playthroughs!,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
14,Brads baby girl breaks her first toy. Brad: “that’s a lot of damage”,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
15,20 years later his a daughter takes over his YouTube channeles,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
16,I love how he tries to be quiet during cutscenes and important parts so during the first cutscene it’s just udder silence for the first five minutes,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
17,I like how the citizens are not concern about cloud carrying a giant sword around,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
18,Played and fell in love with this game when I was 14. I'm 37 now with a 13 year old son but playing this took me right back to me at 14. Talk about nostalgia,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
19,"Had no idea you had a daughter now. I’ve been watching your channel for almost a decade now. Congrats on your baby girl Brad, looking forward to watching this series from you",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
20,I remember back in 2011 when he was just playing games like dead space for fun and stuff...now in 2020 he has a daughter😭😭how time flies I swear to god I’m really happy for you...my favorite YouTuber is still the radbrad💯💯,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
21,"Dyne: ""Oh and Barrett...""
Barrett: ""...""
Dyne: ""Never make marline cry.""",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
22,"OMG. am i just hearing things or did he say, 'i have a daughter now""  THATS AMAZING IVE BEEN WATCHING U SINCE I WAS 9. VERY HAPPY FOR YOU.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
23,"Was not expecting you to announce that you've had a daughter, congrats man, you'll be an amazing dad, no doubt 🙌",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
24,"I remember when my friends played this game, never had the chance to play it coz we cannot afford to buy a ps1. But now i have a ps4 and hoping to win a copy of this game from you brad!",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
25,Did anyone else get naruto vibes when the one dude said “hold on to that hatred”,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
26,The intro music made me tear up. Brought back so many memories.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
27,"When Cloud met Aerith and her theme song started playing, I begin to cry hard.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
28,"""I'm gonna dedicate this to her"" everyone liked that",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
29,"Is anyone going to talk about how he's a dad, I can't believe I just noticed",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
30,"Cloud and the chests. If it interrupts the actual them getting a move.
The gang: let's get a move on
Jessie: cloud! With the damn chests again
Cloud: but...chest...",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
31,"Hey, wait a minute, anyone who's seen that old Disney XD show ""Kick Buttowski"", doesn't the voice actor for Wedge sound ALOT like Gunther?",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
32,I love how cloud just so easily roasted Barrett in the elevator,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
33,Congrats on the daughter bro! You’re doing a fine job.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
34,"I never played any final fantasy game before but when he said ""get help"" I was like Holly shit its about to go down 🤣🤣🤣🤣",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
35,I love how Cloud is always so chill,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
36,"I've literally spent years watching your play throughs. To hear you have a daughter now makes me so happy. Congratulations man, we all love ya.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
37,The one franchise ive always wanted to try but never got to,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
38,"Brad done pushed Doom, RE3 and now FF7 in ONE month WITH a newborn baby. Incredible. Such an incredible YouTuber for longer than 10 years. Deserves more than the most YouTubers. Thank you Brad. Respect.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
39,"Started playing the original. 8 hours in, going to the west continent. I can say with no doubt it aged beautifully",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
40,"Lol I can’t believe that of all the characters, the first one we see is Aerith",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
41,THIS GAME IS THE MOST PERFECT!!! LETS WAIT FOR PART 2,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
42,"Congrats on being a father, now just wait four or five more years and you can finally dress like a fairy or a princess. They're a gift and congrats once more.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
43,When Brad sees his baby come out: How convenient!,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
44,Feels so unreal that your a dad now I been watching you since I was in elementary I’m now in highschool and you have a kid 🙏 life really does go on.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
45,"We know where this relationship will be going.. I hope a miracle happen in this remake, i hope they give us option to save aerith..I dont want to remember my first heartbreak man..imagine playing this as a kid in good old ps1, getting attached to cloud and aerith, and bang.. Aertith died.. It crush my 11 years old mind.. I didnt want to see   it again.. In hd no.... No...",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
46,"my heart skip a beat every moment watching this, that it finally real! hurrah!!",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
47,Congrats on the daughter thats really cool man BTW i have been watching you for years ever since you started youtube and you have helped me through tough times in life and it would be really cool if i could have a copy.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
48,"""TheRadDad"" has a nice ring to it",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
49,"yall remember back in far cry 3, i used to watch him back then, seeing him grow this much is unreal, I'm so happy for you",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
50,"Don't know if someone is reading this, but if you are: You are amazing and beautiful! I believe in you! ❤️.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
51,"I just watched the ps1 version..
Didn't like it.. But this I love ❤ !!!
""I like the real time battle system.""
I'll be picking up a copy of this!!!👍",Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
52,I remember playing this in the 90s! It was epic and took me a month or so to beat it.  It was the only FF i ever spent time to play.  All we need now is a remake of PS1 Metal Gear Solid!,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
53,Brad is going to be that one cool dad that everyone likes and that's a fact,Final Fantasy 7 remake,https://www.youtube.com/watch?v=kt_VZk076Bk,Gameplay
