,comment,Gioco,URL,Video
2,"Check out a new huge look at Final Fantasy 7 Remake featuring Cloud in a dress, Jenova and Red XIII.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
3,I’m 63 years old and I feel like I’ve been waiting for this my whole life.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
4,"Son: why is my sister named Aerith?

Dad: because your mom thinks she's beautiful son",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
5,I think this trailer just displayed how unready we are for this masterpiece.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
6,Those who've seen this trailer are immune to death untill the release.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
7,I bet a lot of people are happy they didn’t cut Cloud wearing a dress.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
8,OMNISLASH,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
9,"This is how you remake games Blizzard!
Not
""SorRY YoU DIDinT HaVE The EXPerieNCE YoU WAntED""",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
10,"They didn't just keep the bit about Cloud dressing up as a girl...but it seems they made it better.  How is that even possible.

Even that quote ""True beauty is a expression of heart, A thing without shame...to which notions of gender don't apply."" is gold.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
11,2:08 to 2:21 The fanbase's reaction to this trailer in a nutshell.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
12,This Aerith girl seems cool.  I can't wait to develop a harmless attachment to her character.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
13,almost had an heart attack at the chocobo rush.. im 30 years old,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
14,"When i first played this game my mother always scoled me. Now that im 40, no one can stop me from playing thiis ff7 remake.... Huyaaaaaaaaa",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
15,If the Collector's Edition came with a figure of Cloud in a dress I'd totally buy it.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
16,"As cynical as I've become, I don't feel bad being hyped about this, even if this trailer is the whole game I'd still buy it.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
17,"""Everyone's pissed because of the delay?... Release a trailer with crossdressed Cloud. That'll calm them down.""",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
18,"I don't want to sound too millenial, but ... this is the coolest thing I've seen.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
19,The sexiest Women in the world couldent get me as excited as this game does.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
20,"Oh man, i can't wait for all the fanarts and fics that will come out of this remake, it will be a fandom renaissance",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
21,"I dont care - Im 33 never played the game, and Im damn excited for this remake!",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
22,"Lightning: ""I'm the toughest woman in the Final Fantasy series.""

Cloud: ""Hold my purse.""",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
23,"""All of you... and the planet.""",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
24,"1:50
""It can talk?!""
""I can SIIINNGGGG!!!""",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
25,How did they take that goofy crossdressing segment and make it into a powerful statement? It works so well and doesn't feel forced at all. Very impressive!,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
26,I l left my ps1 on for a whole 24 hours because I didn't have a memory cad and th nxt day I had to beg my mother  to go get me one Lmao had that blue see thru one  they better do this masterpiece justice,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
27,"""we don't need more attention than we need to""

summons giant army of chocobos",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
28,"Legend of dragoon, Xenogears, legend of legia, vagrant story, parasite eve 1-2. Ya'll are up next. Remake!!!!!!!!",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
29,Probably gonna be watching this trailer every damn day til the remake finally comes out. I’m on my 17th rewatch and I still get goosebumps every time I start watching it again.,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
30,"I love this trailer, I'm hyped about everything. Jenova looks so Lovecraftian. By the way Hojo sounds a lot like Wally Wingert",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
31,this was a goddamned masterpiece,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
32,"The old FFVII is already the best, imagine this one...",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
33,"My only complaint, is how early they are pumping the ""greater threat"" side of the story. (And from Aerith of all people, rather than hearing it from Nanaki's gramps)",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
34,"Even after finishing this masterpiece, I'm still having goosebumps by watching the trailer. Damn can't wait for what Part 2 holds.",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
35,There are still complaining people that this game comes in parts? ^^ Even this Part 1 has more Content than Resident Evil ^^,Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
36,"Final Fantasy 7 1997: Wow look at them graphics!
Final Fantasy 7 Remake 2020: Wow look at them graphics!",Final Fantasy 7 remake,https://www.youtube.com/watch?v=sz9QWTcbXYE,Trailer
