,comment,Gioco,URL,Video
3,“Is he actually good or am I just unbelievable” that is a god like quote,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
4,Dembele is playing like prime pele 😂😂😂,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
5,His positive energy is one reason why he's doing well too and I'm gonna use that technique next wl,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
6,Harry should do a weekend league where every game has to go to penalties so if he’s winning he scores an own goal seeming that he’s the penalty king he’ll get 30-0,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
7,He is an Everton fan right. I swear he just quoted a line from fields of anfield road. Love the vids keep it up,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
8,I didn’t know Harry got top 100 with a bronze team he never mentions it😂😂,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
9,Do a brazilian silvers only! And there actually are some good ones so...,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
10,“Still not got an intro” has gotta be the best intro I’ve ever heard,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
11,"Harry: player switching is soo quick
Me:*clicks L1* 5 seconds later switches meanwhile my opponents on goal 😭",FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
12,“Vamos caralho” 😂🇵🇹🇵🇹,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
13,"pls use dutch team 4222: cillessen, dumfries, van dijk, de ligt, van aanholt, de jong, de roon, wijnaldum, van de beek, promes, depay. you could use bergwijn, ake and malen as subs

like so that harry sees this🙏🏻🙏🏻",FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
14,"That was the quickest ""STILL NOT GOT AN INTRO"" the world has ever seen!!",FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
15,A TEAM WITH ONLY PLAYERS SURNAMES BEGINNING WITH THE LETTER H,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
16,Do a brazilian silvers only! And there actually are some good ones so...,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
17,I was expecting a better “still... not got an intro”,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
18,I really enjoy your videos bro. Keep up the good grind Harry. That “MayDay” shoutout was good too. Shoutout to Kurt!  You are definitely my favorite fifa YouTuber’s favorite fifa YouTuber!!,FIFA 21,https://www.youtube.com/watch?v=P0BRa09nr3M,Gameplay
