,comment,Gioco,URL,Video
3,"While you're waiting, make sure to subscribe and turn on notifications so you don't miss any FIFA premieres 💪",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
4,I swear I’ve heard “intelligent plays” in nearly every FIFA gameplay trailer since 14,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
5,"""You complained it was the same every year, so we made it worse."" EA",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
6,Key feature: Faster credit card response,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
7,"It's evolving, just backwards.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
8,2:50 so scripted it deserves an oscar,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
9,EA never disappoints us when it comes to disappointing us,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
10,"Still looks incredibly stiff, scripted and sluggish. There's still no sense of urgency in the AI to close down players, they just amble along at jogging speed. Players look like they have a boat tied to the back of them. EA Next year instead of just releasing the same old tired game with the same tired mechanics tweaked ever so slightly, why don't you just offer a kit and transfers update,  and instead spend the next 2 years creating a football game that fans want, a game that isn't the same old tired rubbish. Developers - its embarrassing really!",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
11,"This trailer is essentially “Hey, you know everything we promised you in previous games? Well this tome we are actually going to implement it... we promise!”",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
12,2:35 has anyone at EA ever kicked a ball? How is that realistic?,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
13,"According to likes, people dont learn any lessons",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
14,"So we're in our 3rd year and fifa with promoting agile dribling? Ok, cool...",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
15,"""Can't spell Steal without EA""",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
16,First time I haven’t even considered buying the game,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
17,"1:47 ""midfield players like Fabinho shut off passing lanes""

Me: then what was my ""cut passing lanes"" instructions been doing for past four years",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
18,"I ain't buying anything from EA anymore, period. Sick and tired of this company.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
19,"FIFA 20 : People overusing Drag Back

FIFA 21 : People overusing Agile Dribbling",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
20,I'm not impressed.,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
21,"Will surely buy this....
..
..
Once it's on sale for $3",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
22,"How much disappointment do you want to cause us?
EA: Y E S",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
23,"What we also wanted:

-Better servers.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
24,"Gamers: ""Are there any bugs/glitches?""
EA Sports: ""It's in the game""",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
25,When is fifa 22 coming out? Already bored of fifa 21,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
26,EA know that people will eat the same dish served in different manner.,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
27,"Looking at all the negative comments, I feel like EA paid off YouTube to give this video more likes.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
28,EA SPORTS!  ITS IN THE SAME!,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
29,Let’s goooo another year of “better positioning” “smarter players” and “agile dribbling”,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
30,The thumbnail has nailed it when it comes to Haaland's reaction during interviews.,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
31,"This is gonna be the same as always, so no",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
32,"This could just be a update to fifa 20, its not worth full price.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
33,Imagine paying 70 euros for a new DLC of the same game for a decade,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
34,"Imagine paying 60 bucks every year just to be able to play Ultimate Team, it‘s actually a Subscription.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
35,Why don’t y’all just update one game instead of realeasing a new one every year,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
36,"And folks, that's what you get when a company has almost no competition.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
37,Prepared to be disappointed yet again Fifa 21,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
38,Looks exactly the same,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
39,Repeat with me EA. “Career mode” EA: “Career mode”. Pro clubs... EA: “pro clubs” Fix gameplay... EA: “rewind feature in kickoff 🥳”,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
40,"""This year we've introduced headers into the game""",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
41,'World class forwards hold their position to keep onside' unbelievable,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
42,"EA:Gives us a the same game but with a different number
Me:It’s so strange. I LOVE IT",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
43,"We all know that by the end of the year, everybody is gonna hate this game, they always manage to NOT satisfy us and make a worse game than the last year.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
44,I will only belive this after I played this game.,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
45,"Please edit the goalkeeper game. The jumps usually look very choppy and unrealistic. When it comes to goals, it looks like the goalkeeper doesn't feel like holding the ball.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
46,When players will leave hovering in air while running ... Feels like players are sliding. In every iteration. Fix this and also useless movements,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
47,EA focuses 90% of its work force to improve menus and scoring celebrations. Core gameplay is button smashing,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
48,So basically everything that could've been improved/fixed in Fifa 12. Took 9 years.,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
49,Fifa 21: “Your headers go exactly where you aim”... What a revolutionary feature 10/10 GOTY,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
50,"I feel like we get the same gameplay trailer every year. Just fix career mode, then all of us will satisfy.",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
51,Sweet my favorite gambling company is back with more gambling mechanics straight from Los Vegas!!!!  I love gambling!!!,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
52,I was a constant fifa player and bought every fifa up to fifa 16 (consecutively). 17 was plain boring so I didn't buy it. 18 was on sale and got it only because it was 25 bucks. Didn't buy 19 or 20. Please don't disappoint me with this one.,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
53,"“Master those skills” 
shows heel to heel
Me: Well looks like I’m fckn Neymar then",FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
54,Ah yes the realistic rewinding time feature we’ve all been waiting for in a football game,FIFA 21,https://www.youtube.com/watch?v=Jmliox1trPQ,Trailer
