,comment,Gioco,URL,Video
2,"Watch the launch trailer for the battle royale game, available now on PlayStation 4 and PC.

#ign",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
3,"I've heard people say mortal kombat fatalities are brutal, have you ever been grabbed in fall guys?",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
4,"This looks so wholesome...


Then you play the game...",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
5,"Omg this is so cut--
the actual game: PEACE WAS NEVER AN OPTION",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
6,0:35 did you see the purple guy he's flying,Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
7,"10 years later-

Gamers: I remember that beautiful game.",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
8,"They’re already undergoing maintenance for the servers because so many people wanted in. 

I think that’s when you know you’ve made something special",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
9,"0:19
You should never gave up if you don't gave up the results are this 1:12",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
10,The world of Fall Guys is the place you go after you die in Among Us,Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
11,This game is just so... wholesome,Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
12,"Pink Jelly Bean *wins*
Fall Guys Title : I am about to end this BEAN`s whole career",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
13,"This is going to be the next generations childhood, ",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
14,This guy has more chracter development than kirito,Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
15,"0:35 HACKER 💯% CONFIRMED, HE HAS A PIGEON SUIT",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
16,"everyone: aww thats cute
me:HoT dIgGiTy HoT dOgGiTy",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
17,"Best of this quarantine: 
- Fall Guys
- Among Us
- Not going to school",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
18,"On the surface, it's a simple game, the problem is when you fall off the surface...",Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
19,Little Poor Guy At The Start He’s The Only One That Has No Accessories,Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
20,One day we will look back at this trailer for nostalgia of Fall Guys Season 1.,Fall Guys,https://www.youtube.com/watch?v=Wj3dUvGLjNQ,Trailer
