,comment,Gioco,URL,Video
3,1 like - 1 appreciation for Robin's editing on this one!,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
4,Petition for Jack to fly over the Bermuda Triangle and solve the mystery once and for all.,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
5,"Jack: goes back to his old house 
Me: remembering when Jack lived in a shed to make a living",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
6,"""This is the greatest plan""
     Jack crash
Me: salute",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
7,"Passengers: ""haha hope the pilot is skilled and we dont crash!""
Captain Sean: ""whats an ailerons?""",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
8,"""im not going to dox myself""

zooms out of google maps from a residential area in Brighton, coincidence?",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
9,you know it’s bad when your pilot says “OH MY GOD I DID IT” after takeoff,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
10,"Jack: Look at all those little sh*tty ants!
Jess: First step to flying a plane: Adjust your attitude",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
11,"Jack: they’ve mapped out the entire planet!

Buckingham Palace who is just a normal building in this game: am I a joke to you?",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
12,"""sorry for the rough start our pilot has been drinking"" this part had me dead Lmao",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
13,"Me: tries to crash to my house in MFS

Also me: Why do i hear plane engine sounds nearby?",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
14,"Even when Jack's in virtual Ireland, his accent comes out stronger than ever",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
15,Imagine jack flying over your house,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
16,I miss “Top of the morning to you Laddies!”,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
17,"Jack: Are you dumb, stupid or dumb?

Me: Well well well....",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
18,theory: felix crashed into jack’s house in his gameplay,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
19,"Just imagine 

You’re on a relaxing flight then the Irish pilot yells “WHERE IN THE LOVE OF GOD AM I”",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
20,"nobody: Jack crashing planes into buildings for fun

Americans:😬😳😧😨😰",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
21,"1:27 ""Ah, I see...""
3 seconds later proceeds to nose dive",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
22,"12:05, imagine the plane didn’t explode while crashing to the apartment and the past Jack was somehow survived and his future self came out of the plane, then 1 minute later the 2 of were like together saying “Hi I’m Sean Jacksepticeye!!” And later that afternoon they’re just talking to themselves about everything from the past to the future.",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
23,"Imagine being on a flight and your captain says ""oh my god I did it"" when you take off.",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
24,"jack: Im flying over my old house 
some random Irish kid: TATS ME FOOKIN HOUSE",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
25,"jack: there's a beautiful sunrise greeting us as we leave dublin international aiport on our way towards the ground.
passengers: *chuckles we're in danger",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
26,"18:05 “That’s got to be the best piLoT I’ve ever seen.”
“So it would seem...”",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
27,Imagine if there is an Easter egg at Jack’s old apartment when he flew do it and you can just hear a✋🏻 top of the morning to you laddies that would be the best Easter egg,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
28,"""These planes are so weak""
Well, Jack, pushing Mach 1 in a Jumbo isn't exactly what I'd call weak.",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
29,"Jack: flying into his old house
Current residents: why do I hear airplane noises",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
30,"Jack: I'm probably gonna crash this plane, but that's absolutely fine
People on the plane: Nervously looking around",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
31,"when he said ""WhErEs Me DrInKs?!?!"" my soul left my body like ""im not paying rent anymore"" lol",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
32,"Sean: ""Tiny little shitty ants""
Immediately after...
Jess: ""First step here is adjusting our attitude""
3:06",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
33,"Jack: look lads!!!! I'm doing it!!!!

Me: having vietnam's flashback of jack saying ""look ma!!!!! I'm doing it!!!"" :')",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
34,"Jack: Look at them all, like tiny little shitty ants!
Jess: Alright first step here is adjusting our attitude",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
35,"The snoot went droop
droop snoot
snoot droop, droop the snoot",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
36,"THE PAST: Wait if future Jack killed Jack, Jack would never become future Jack and he could never kill Jack. Therefore he never died.",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
37,"""Sorry about the ruff start, our pilot has been drinking"" 😂😂😂😂😂😂",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
38,"jack: this game’s graphics are the best 
game: you are not allowed HANDS!",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
39,0:12 I appreciate the “Airplane” reference,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
40,"Jacksepticeye faced his fears head on and said, ""this is cool"".",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
41,"""The most realistic video game ever made"". Gta 5 looking at this like 🤬",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
42,"Jack after crashing: what did I crash into??
Me, 3 seconds earlier, screaming at the screen: W A T C H Y O U R A I R S P E E D",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
43,"“And here’s my house!!”

At this moment, someone has a microscope right up to their screen.",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
44,"18:23 Jack (about to crash into a building): AAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHH---
Ad: Hello there...
Me: THIS is a Perfectly Cut Scream.",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
45,I like the “Airplane” movie reference at the beginning and end,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
46,"😂I love when he “crashes” mid air and he gets pissed off. What is actually happening is that the wings on the plane are receiving to much stress, and this causes the wings to actually break (like applying to much force on a pencil ✏️) and as you all know without wings you can’t fly, thus you will crash 💥.",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
47,I’m just imagining the passengers listening to jack struggle to find where they are,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
48,"The second I saw Jack's old apartment I thought ""hmm that looks familiar"" then I realised I used to live like a short walk from him in my childhood house",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
49,"""Are those bad sounds"", he says over the cacophony of alarm buzzers LOL",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
50,"12:05
""I am you from the future, there is no time to explain.""",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
51,"“In plane simulator you can go anywhere... visit deserts, soar over rainforests, see beautiful cities” 
And where does everyone go?
To their house...",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
52,Flight Simulator Be Like: Every Landing Is A Good Landing,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
53,"""are those bad sounds? Those sound like bad sounds."" 

Airspeed: 500 Knots",Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
54,3:35-3:50 LITERALLY ME A WEEK INTO ONLINE CLASSES,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
55,Imagine being in a plane and Jacksepticeye is the one driving the plane and he said that he just finished training,Flight Simulator,https://www.youtube.com/watch?v=jadf3hv-9ww,Gameplay
