,comment,Gioco,URL,Video
3,this game will convert your frames per second to seconds per frame.,Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
4,I can't wait to crash into my own house!,Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
5,The fanspeed will make your pc lift off.,Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
6,"""But can it runs Microsoft Flight Simulator?"" 
🔥",Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
7,"From all things I expected at E3, this was NOT on the list. Good Job Microsoft.",Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
8,"Sp Basically we dont need to travel anymore,we can just put VR on and fly around the World and see everything,what we always wanted to see the other part of Earth.",Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
9,"Bethesda: We have the biggest maps in gaming.
Microsoft: Hold my joystick...",Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
10,"Everyone: want to fly to their home or area 51
Me: nOrTh KoReA",Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
11,"How much download space will this need?

Microsoft: Yes",Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
12,"Me found my house in this game
Also me : why i hear jet engine noise",Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
13,"Us: ""Will this sim be about graphics or realism?""
Microsoft: ""Yes.""",Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
14,Imagine if you showed this footage to someone living in 1982. The face of disbelief in seeing something so masterfully crafted with sweat and tears. The sheer thoughts of the person living in 1982 that something as beautiful as this would exist in the future gives me goosebumps.,Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
15,1:23 It features Giraffe SIMULATON??!?!?!,Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
16,Can't wait to crash in 4k,Flight Simulator,https://www.youtube.com/watch?v=ReDDgFfWlS4,Trailer
