,comment,Gioco,URL,Video
2,"Props to Robin for getting this out so quickly, there was a lot of livestream footage to trawl through so go Robin :)",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
3,"the curator is definitely death. he says he meets everyone once, death isn't so bad, he met oscar wilde in paris once (where oscar wilde died), and assures he'll meet you at least one more time (when you die)",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
4,"Angela: “John is an alpha male”
John: runs away at the slightest spook",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
5,"Curator: There is only one thing worse than a demon rips paper off, revealing the word ""child""
Jack: A child :0
Curator: No-",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
6,"""Everything Megan does is an accident""
""Even her birth""
Megan appears behind him",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
7,"“Children have more bones. Good, more to break”

Sean, HR would like to have a word with you.",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
8,"the more I think about it the more I like the ending. in this subgenre of games, we expect the goal to be keeping everyone alive, so we make every decision based on that. but that's not the objective of little hope, and the game tells you that from the beginning when everyone dies in the house and the curator says you couldn't have saved them. the hints as to what's going on are actually quite heavy-handed. the curator says several times that you're not supposed to be saving everyone, you're supposed to be finding the bus driver and forgiving mary/megan. ",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
9,"“No one wants to condemn the kid.”

Jack literally five minutes before:”Say aye to burn the child?”",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
10,"Angela: ""That girl, she sounded so strange""
The other guy: ""She must be from another planet""
Me, a Yorkshire lass: ...",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
11,See that's why you don't slam on the brakes. It's better just to hit the person full speed and call it a loss lol,Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
12,"“Oh she’s evil and she’s going to burn this house down” -Jack 10 mins in
Me “your god damn right",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
13,"""Not allowed to interfere... apparently""
""I meet everybody... Once""
Saying this now at 2:13:41 - The ""Curator"" is Death himself.",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
14,"Sean : disgusted over angela

hours later",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
15,"Jack: ""She's a kid, you could probably kick her about 50 yards""

Me: thinking about testing that theory for the laughs of it",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
16,"‘Kids are f**** creepy, they’re like tiny adults... but way worse’ 

-Jacksepticeye 2020",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
17,"Why does Jack saying ""Mr. Reynolds: have the same energy as Peter Parker saying ""Mr. Stark""",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
18,"""wait, its all Andrew?""

""...always has been""",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
19,"""kids are like tiny adults, but way worse""
couldn't've said it better myself jack",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
20,"Rev. Carver: ""He is not fit for such a Task"" Jacksepticeye: Trying to do card swipe",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
21,Imagine if this whole story was John at a staff meeting trying to explain why he's not allowed to lead field trips Anymore,Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
22,"Jack, literally the outcome that determines who walks out of the house is solely based on the answers you give during some interactions. That's it. That's what determined Angela walking out of the house and no one else. Because Taylor wasn't a team player,  didn't turn Daniel into a hero at the end (that one you were close to saving him but you needed to choose for him to tell Andrew to let go and run when holding the bar), Angela needed to become more understanding to the group (which you did), and John needed to become an authority figure and not a coward. But there was no way to know that's what you needed to do or the exact correct lines of dialogue you needed to choose in order to get them all to survive. Also, apparently shooting at the ghost with Vince nearby caused this ending. If you didn't do that you got the rest of the interaction with him correct and would have gotten a different ending too.",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
23,"Who else is here after Unus Annus just died and you needed a safe place to chill and watch something while it sets in.....(also love u lot's Sean, loving the extra long episode.)",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
24,"John: ""Yeah. But how would we even begin to find that out?""
Jack: "" I dunno- find that little girl and touch her again.""

...Jack- Jack, no. No, Jack. No.",Little Hope,https://www.youtube.com/watch?v=m1XCbkoLijc,Gameplay
