,comment,Gioco,URL,Video
3,"“You survived the Man of Medan”
People who got the ‘everyone dies’ ending: 
👁👄👁",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
4,The best thing about until dawn was revealing the wendigo's were actually real.,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
5,Didn’t know Sid from Toy Story would be in a horror video game.,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
6,"Me : *turn on auto subtitle

""Man of madonna...""",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
7,THEY MOTION-CAPTURED WILL POULTER'S EYEBROWS I'M-,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
8,Man of medan was a bit disappointing after until dawn so imma excited for this one,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
9,"cant wait for ""The Dark Pictures but i picked the wrong option and everyone dies"" video from CallMeKevin",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
10,"Everyone keeps calling him Sid, but only OG's know it's Kenny from We're the Millers.",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
11,"""You survived the man of medan"" what if I killed all my characters??",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
12,this fool shouldn’t have pissed on the ancestral tree 🤦🏾‍♂️,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
13,He's been showing up in stuff for years and I still know him only as 'eyebrows guy',Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
14,"This game looks great, i’m really really hoping that it is. 


self rant :",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
15,"Let's hope there's fewer obnoxious jumpscares, better pacing, improved performance and more real consequences in this one 🙏",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
16,"Little “totally not Salem” Hope, Massachusetts",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
17,2:04 the fact theres an older lady in this game as one of the characters and seeing probably one of her death scenes makes me sad. She doesnt deserve this,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
18,"Me seeing the thumbnail when youtube recommending this to me

Me : Wait a minute, is this the punchable guy on Narnia?",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
19,"Wait...Ya'll telling me that aside from having to face nightmare fuel inducing monsters and burning buildings, I also have to keep an old lady alive with my horrid decisions..?
My Anxiety: Y E S 👁👄👁",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
20,"I'D RECOGNIZE THOSE EYEBROWS ANYWHERE!! GARY, MY DUDE, IS THAT YOU?!",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
21,I really like that they play around with actual places and urban legends. It adds another layer of mystery for me . I love looking up these things and places and reading about them,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
22,Until Dawn is in my top 5 favorite games and Man of Medan was pretty enjoyable to play so I'm pretty damn hyped for this,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
23,"""Don't be put off by the title, I'm sure there's nothing to worry about""
Ending: abandon all hope",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
24,My man in the thumbnail looking like he's about to harass some toys.,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
25,"Some people are complaining about the graphics. Sure, it looks outdated and not the level of Detroit Become Human but it still looks better than other Interactive Storytelling games. What i really care about from Interactive Storytelling games are 2 things. One is the gameplay and two is the story.",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
26,Jest to let everyone know the game releases June 15,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
27,Me: sees tumbnail Is tHAt wILL pOULtEr,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
28,"""SID YOUR POPTARTS ARE READY""",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
29,"Person 1: I have a lot of hope
Person 2: I have ""Little Hope""
Will Poulter: You guys have hope? 🤨",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
30,1:01 lmao that girl scream sounds reused,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
31,"Well, let’s just hope that this game doesn’t have a bunch of bugs unlike the last one.",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
32,"0:23 Look at the books. The first one has a ship on it, which means it's  ""Man of Medan"". The one he is taking has a stick doll on it, which means it's ""Little Hope"". The next two have a moon and caliper on them. What could that mean?",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
33,Holding high hopes that this’ll learn from the weaknesses of man of Medan and give us the game we all want so badly!!,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
34,Never did i think Will Poulter’s eyebrows would be in a game,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
35,"Oooo, I think I’m gonna have more fun looking into the past in this one than Man of Medan!
Unlocking the secrets of the past and the slow reveals of how it all tied together was my favorite part of Until Dawn. If Little Hope replicates that, I’m totally in!",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
36,"Thanos: ""It is inevitable...no, wait, that is not how the line goes!""",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
37,"Watch people be like, “You’re not gonna fool me again, I know this is all some type of illusion”",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
38,"""Hope is what makes us strong it is why we are here, It helps us fight when we have nothing left for""",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
39,never have i thought i'll see will poulter's face in a video game,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
40,"From the future: The game is amazing, specially its incredible ending",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
41,"Imma call it now....Aliens.

Come back in a few months when it’s out and leave a like when I’m right.",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
42,"0:21
You just Make me remember how i kill Conrad from ):",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
43,This one actually looks interesting!,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
44,“eyebrow kid’s” name is will poulter.,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
45,"Omg, Silent Hills is back! Oh, wait a minute...",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
46,man of medan wasn’t my favorite but that doesn’t mean i won’t look forward to this ! i hope it’s decent,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
47,I only clicked because I’m in love with Will Poulter okay,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
48,"""You survived the Man Of Medan""
Me who likes Until Dawn much much more",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
49,I hope this entry can be more on the polished and quality level of Until Dawn. Man of Medan did not hold up to the standards you set with Until Dawn.,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
50,I really love game from this studio every single game is scary and awsome,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
51,2:03 reminds of that Sid kid from toy story,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
52,I remember seeing a tease to this in man of Medan or the dark pictures anthology website,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
53,1:00 LOL That screaming sound effect!,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
54,hey i know that dude with the eyebrows,Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
55,"ok so:
- @1:01 did they really use that sound effect. Cheesy
- every time the shrink did ""mmmmmm?"" in Until Dawn it looked weird. Still does here.",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
56,"Just watching this trailer, really gives me the exciting chills. Already feel like playing this awesome horror game",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
57,"I was wondering what Little Hope will be and I never expect it would be witch but interesting that they go from a WW2 legend to a witch legend.

They really tricked me with Man of Medan, I thought the ship is really haunted but turned it just a gas that make them crazy so I don't think it be like  witch trying to kill in Little Hope but something else you will never expect",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
58,"""You guys get to be playable characters? "" 
                       -Will Poulter",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
59,"""Yea !, wach you gonna do about it EYE BROWS !?""",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
60,"Man of Medan Ending Everyone can survive

Little Hope Ending I dont think so mate",Little Hope,https://www.youtube.com/watch?v=Ths5Ff_HG0I,Trailer
