,comment,Gioco,URL,Video
2,"Ori and the Will of the Wisps Walkthrough Gameplay Part 1 includes a Review, Prologue, Reaction, Act 1 and Campaign Mission 1 of the Ori and the Will of the Wisps Single Player Story Campaign for Xbox One X and PC. This Ori and the Will of the Wisps (the sequel to Ori and the Blind Forest) Story Campaign Walkthrough will include the Full Game. Ori and the Will of the Wisps Walkthrough Part 1 will include a Review, Ori, Ku, Naru, Gumo, All Bosses, Cinematics, Cut Scenes, OST, Soundtrack, Story Missions, Main Missions, New Gameplay, DLC, all Single Player Campaign Missions and the Ending. Thanks Microsoft for giving me Ori and the Will of the Wisps! 

Membership: ",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
3,"Appreciate that support on this one! I didn’t know what I was getting into but the soundtrack, visuals and gameplay make it very fun to play. Let me know if you would like more!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
4,"Brad, I did not know where to post this and the whole public view makes me feel uneasy. However, if felt you should know how what you do and did helped me. 

I am a vet ( not trying to sound pretentious) of a total of 8 deployments during my time in. I suffer from PTSD amongst other things I will get into late. ",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
5,5 years I waited 5 years.... finally,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
6,"Omg I LOVED the first one....so glad there is a sequel, everything about this game is breathtaking!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
7,Kind of wish this was on PlayStation.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
8,"This is the best platformer in recent history. The music, the art direction, the animations, everything about this game is beautiful.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
9,Brad is such a nice guy. He make me smile everytime I watch his videos.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
10,"normal mode
""The way Ori and The Will of The Wisps was meant to be played""
ok moon studios you got us",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
11,I'm studying for finals right now and this is such a relaxing gameplay to watch in my off time,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
12,"""Jump onto blue moss to cling on to it.""
30 minutes later:
""You can stick to walls now, f*ck the moss.""",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
13,"Brad: lets get this
this says""bread""",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
14,"6:40 
Brad - ""its like the first microsoft exclusive i've played in a long time""

Well, you're not wrong... lol",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
15,"You gotta continue this, Brad!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
16,I just finished the first game and when I saw this video I got so excited because the Ori and the Blind Forest was absolutely gorgeous and probably the best game I played in a long time.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
17,This game looks beautiful and so fun :) and the music is so enchanting~I love it!!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
18,"Whoaaaaa ......... man this is really the next level shit. Especially with the sound man I love it - violin, piano and flute it's touching.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
19,We want more of this. Please complete it.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
20,"3:50 ""look at that stretch that was awsome"" Hears neck crack. XD",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
21,Brad is such a positive person...def rad in my books :),Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
22,"I recently started playing the first one, damn is a beautiful game, love you Brad.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
23,This game looks amazing can’t wait to watch! The picture looks amazing and the story line looks fun!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
24,You'll have to play the first one to really appreciate what is going on in this game's world,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
25,Well that was actually ... relaxing,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
26,YES! I was hoping he'd play this game and now my wish came true,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
27,"Lol gets double jump.
Brad: ""Double jump let's go """,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
28,"I've been watching since dead space.
This game looks beautiful!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
29,The first game was a masterpiece :D im gonna enjoy this ^^,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
30,”It’s a metroidvania inspired by Raymond” the father of Rayman for those who wonder who he meant,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
31,"Waited for this game a long time, finally! rock it most casual brother! love from the Netherlands!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
32,Both this and the first game were and are beautiful! I didn't know they were making a sequel and it's made my day. I love the game and can't wait to see more!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
33,This game looks gorgeous and the music is beautiful,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
34,Man this is the game that gave me goosbumps in a long time...  man i love the sounds 👌👏,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
35,Holy crap you're playing my favorite game! Ive been watching you ever since your dying light series. hopefully i could get a free copy,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
36,"Definitely keep playing this game Mr.TheRadBrad! It's really calming to watch you play it. 
The music is relaxing and I love the graphics in it. It's so magical!
Keep up the great work!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
37,"Ku fixes wings and flies through sky
Me: Wow, that's so awesome and inspiring. This game is going to be fantastic.
Brad: nice",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
38,"i'd love to play Contra, Metal slug in these new graphics :)",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
39,I'm so happy to see you play titles like this one. I loved the original Ori and just can't wait to play this one myself!  Keep up the great work Brad😎👍🏽,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
40,"This game looks amazing, 2D yet so atmospheric :0",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
41,"To everyone watching: This game is beautiful. Please buy and play the game on your respective system to support the devs that spent so long working on this game. Though it's nice to save money and watch it on YouTube it just doesn't support the people who made this amazing game. Thanks, fam. Have a good day <3",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
42,"Man, that music. I am watching this while working and it is such an amazing experience!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
43,"3:38
[the way he grabbed da child-]",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
44,I played the first game it was amazing this one looks cool i want to see more,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
45,"I don’t remember when I found ur channel, but ik it has been atleast 3 years",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
46,"The game looks amazing so far! I love that you chose to try it out. Hopefully it gets the views, I'd love to see more of it from you in the future <3",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
47,"man looks beautiful.. the last platformer i enjoyed was way back, called Child of light from ubisoft. the battles there were rpg based but still fun. might try this game out",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
48,19:58 ...that background instrumental music though ✊🏌🏿‍♂️,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
49,Brad we need more of the Ori and Will of the wisps! <3,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
50,Hey brad! Could I get the copy! I found your channel about 2 years ago when watching some gameplay!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
51,"I love the “ori” games, please keep making videos of it!!!!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
52,"This game is  so beautiful, can't wait the next episode !!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
53,"This game is beautiful. I love the OST and it's Visuals!

Found your channel when you played AW in 2014",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
54,Such a beautiful game. The soundtrack is really something special too. Thanks for all of your effort you put into your videos. Ive been watching you for years and have always enjoyed your content. You always put your viewers first and thats what makes you a great person! I hope you continue this series!!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
55,This is the first x box exclusive i have actually wanted to be on playstation. Great video brad,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
56,"Hey there, love your walkthrough loved the first game, really hope this one is as cute...looks good so far XOXO Tania, been with you for the last few years, think i found you when i was looking for assassins creed walkthroughs , so thanks again xx",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
57,DAMN! THIS IS WHAT IM TALKING ABOUT! CHARACTERS AT 60 FPS. MICROSOFT. SOMETIMES. YOU ACTUALLY DO EARN MY MONEY ;),Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
58,This helped me so much! Used this video as a guide when I got stuck would love another one!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
59,Damn when last did i hear brads voice been ages sounds like a long distant relative i haven't heard from in ages ...lets gooooo,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
60,"Man I love this game so much already!!
First one 5 years ago was soo good too, happy they made a sequel :)
Would love to see more of this🙏",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
61,I’ve been watching your channel from the first call of duty. Tho I do wanna see you play some open world survival Games. This game does interest me fr,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
62,OH YEAHH BABYYY CANT WAIT for you to Upload DOOM ASWELL LUV U BRAD,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
63,"Would love to see more - there's so many games to play now though, so I know it's tough!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
64,Please do a full playthrough! Just subscribed but been watching since the last of us. Definitely go back and play the original. You won’t be disappointed.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
65,"I have played the first one and it was amazing and yes it gets difficult but it's all worth it. Love this game. Plz keep playing it, much love.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
66,"OMG please keep playing this, it's beautiful!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
67,"This game is so beautiful. The sceneries and all. Hoping you do 2nd on it. Love you💓

I found your channel back in 2018",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
68,"Found this channel in 2019, let's do this I enjoy these videos, I've enjoyed the anthem video the most.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
69,"Thanks for playing this Brad, it's been a while since I've been here. Found you with Amnesia :-)",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
70,I found your channel when your playing dying light now your playing one of my favorite game nice,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
71,"This game looks very interesting, and pretty",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
72,"Definitely a cool game, really enjoy watching it",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
73,I'm so happy you are playing this! I've just finished the first one but I'm spoiling myself for watching you! thank you! please play more of thiiiiis!!!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
74,"Play dreams story mode, it's amazing.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
75,I found your channel when I was looking for help in infamous second son,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
76,Absolutely beautiful. <3,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
77,"The first 7 minutes are scary, sad, beautiful and heartwarming! Now I  am going to watch the rest.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
78,The animation is so cool man I have played the first game for some time. Cant wait for this one,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
79,"This game is awesome. I just bought the first one myself and am still playing through it.

I found your channel because of your Far Cry 3 videos since 2012. I subscribed when I watched your Tomb Raider and God of War game-plays and had gone through almost all of your playlist already.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
80,"Been waiting for this sequel for ages, hyped that it's finally here!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
81,Brad I see you upload another game I’m so excited! Been following you since your silent hill days! This is a bit of a change but I’m liking it! Keep it up brad! 😁,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
82,Hey! This game is so beautiful. I don’t remember a game that made me involved so dipper on the story.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
83,"21:38 Its sort of Mario brothers. Ur soo cute Brad hahaha. Amazing and Trippy game, i like it eheheh...Meow",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
84,30:30 so glad someone still remembered Lilo & Stitch,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
85,The music is just phenomenal. Thnaks for the vids Brad. Much love ❤,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
86,"I found your channel back in, been watching since The Evil Within and Alien Isolation. Went back and watched Silent Hill and a bunch of stuff. You're the best and always make me smile through my depression.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
87,Hi Brad. Nice content. I found you through your Detroit: Become Human series. Such a nice gameplay you got there. Keep it up!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
88,Found ur channel when u were uploading nightmare house every single day..... man the nostalgic feelings i am getting writing this warms my heart and i can actually say u were the best for the people who care for everything....not to mention i learned much from you .... I love u brad ♥️,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
89,"I loved the first ori! It's gets a looot harder.. also playing the first, you would understand a lot of Missing info... Sometimes you have to go down and around to go back up to a spot in the map lol",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
90,I really hope u continue playing and streaming this it’s sooo awesome 😍💕,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
91,"I found your channel when you played the first Titanfall! :D. Great channel btw, been watching your content and i can only say that it feels just right.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
92,Definitely a part 2 please. I've been playing though this as well,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
93,This game gave me chills the whole time. I can't wait till part 2. Keep up the good work brad!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
94,The first flight scenes gives me how to train your dragon vibes.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
95,thanks u brad for uploading this walkthrough  <3,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
96,i found your channel when you were playing The last of us. i'd love to have a copy of the ori and the will of wisp game.. i love this game,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
97,"this is the best game i ever saw, puzzle and jump's really hurt my brain sometime heh..",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
98,"hey brad keep up the good work, im with you since you played ""Second son"". thank you so much for keeping me busy while i eat and just chilling, love to see you play. keep it up <3",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
99,Thank you for doing this video. The music is so beautiful and the game is just a whole mood. Enjoyed you playing this and I wish I could play it as well T__T,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
100,"I found your channel about a month ago when I was deciding if I wanted to get Ghost Recon, Division and Division 2. You're awesome. @theRadBrad",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
101,I love the idea of playing this game without having played the first one. It must be a very different experience.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
102,"Didn’t know if I was gonna get this game, thought it looked awesome but never played the first one. After watching this, I’m definitely gonna play it!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
103,Love your channel. Found you about a year ago when I finally got Horizon Zero Dawn. Thanks for all the fun videos.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
104,"This game looks amazing! I wish Nintendo would do a Metroid game in this fashion. Like zero mission HD, with high-res sprites. Brad, love the channel, was hoping you’d play through this one!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
105,This game looks amazing and could someone help me? I bought the game and everything and my computer legit sucks ass so I’m so disappointed I can’t play it. I can’t afford a new pc and I’m wondering if theirs any way for me to have the ability to enjoy the game for myself. Thanks,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
106,"The first game I ever fell in love with was Bioshock and what it became throughout the entire game series. Bioshock Infinite, I was sceptical, but then your very first video of that playlist changed how I saw it. Eversince then, Bioshock Infinite has been my favorite most loved game I've ever played. Now whenever I need a good idea or different point of view on games, I watch you. Its changed the way I see, not only games, but my personal life too. Stay awesome Brad  I love you",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
107,Been enjoying and love the videos every since finding you when you first showed off the preview to Star Wars Jedi Fallen Order,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
108,We need the full game! It’s been released so it’s time! 😂,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
109,"Need more parts bro,  quickler! This game looks beautiful!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
110,Love this game. The soundtrack is incredible. Glad you try this game.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
111,"This game is stunning! I played the 1st one a few years back and enjoyed every minute of it. Please, keep playing this, Brad. It's so relaxing to watch you play. Lots of love from the Czech Republic 🙂.",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
112,This is such an awesome looking game! I love listening to you game and I have been with you since Deadspace!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
113,"Been seeing advert for this on YT, then Brad plays this, thanks!",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
114,"I've been waiting for this! Thank you, Brad. And you, stay healthy, be well. :)",Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
115,i found your channel when you started playing infamous second son!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
116,Please keep uploading this!!! Probably one of my favorite series,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
117,Definitely do a full playthrough when it's released. I always loved Ori it's amazing. :),Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
118,This game is so beautiful it brings tears to my eyes....,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
119,This is the most beautiful game I have ever seen it almost made me cry,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
120,I found your channel over 2 months ago and I’m glad i did Your voice makes me want to play the game,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
121,Been watching from time to time since several years back. Best walthorugher!,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
122,Been ready for this all year !! Cant wait !,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
123,I don’t remember when I found your channel but I started to watch it for call of duty ghosts. I love your videos they are amazing,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
124,Man i remember being recomended your channel by a friend. arkham knight mustve been the first game i watched you play,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
125,Enjoyed this very much looks like a game I would paly alot. You're always on top of things.,Ori and the will of the wisps,https://www.youtube.com/watch?v=CyHpfli2qNI,Gameplay
