,comment,Gioco,URL,Video
3,Whatever those artists are being paid... Quadruple it,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
4,I can't wait to feel all over again.,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
5,YOU CANT JUST SHOW ME THIS AND EXPECT ME TO WAIT UNTIL 2020,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
6,The scene of Ori flying on Little Kuro made me cry...,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
7,"""...playable on Xbox One and Windows 10.""
Nice.
""Also, available in Steam.""
* sob * ...Nice.",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
8,"Ori and the Blind Forest: cute enemies, calm music
Ori and the Will of the Wisps: CRAZY MONSTERS THAT ARE READY TO KILL YOU ANY TIME

man it's getting hotter over here",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
9,It's not even out yet and it already made me cry with the release date.,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
10,Ori's a real badass now. Remember when the only way to deal with giant monsters was to run from them? Looks like the kid's done some growing up since the Blind Forest.,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
11,"I love this series. Great game, looks like it's evolved even more! Can't wait!",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
12,"Everyones talking about Animal Crossing and Doom coming this month, clearly everyone forgot about this masterpiece",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
13,I’ll return here on February 10th. See ya until then,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
14,One of the BEST soundtracks in gaming!,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
15,"Ori and the Will of the Wisps

Prepare to cry edition",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
16,"Ori: FEB 11, 2020

Me in Homer Simpson voice: But I want it nnooooooow....",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
17,"Something I noticed; The owl's damaged wing got patched with Kuro's feather.
Mommy helping her child fly...  Q_Q",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
18,I CAN´T WAIT TO DIE 1254 TIMES,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
19,Ori and the blind forest was one of my favourite games! I can't wait until this releases,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
20,Actual boss battles? Count me in! I'd buy it even if it was more of the same.,Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
21,"Now that Ori and the Blind Forrest ist coming to the Switch, i want to see this on the Switch too",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
22,"masterpiece, almost cried watching the final part of the story",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
23,"The Blind Forest was one of the best yet hardest games I’ve ever played. Stunning graphics, brilliant gameplay, Amazing soundtrack, and touching story. Can’t wait for this !!!",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
24,"""Playable on Xbox One and Windows 10""
Me: Okay
""Also, Available in Steam""
Me: happiness noises",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
25,"The most beautiful game I have ever played. After patiently waiting for so long, I don’t mind waiting until next year to relive this stellar masterpiece again.",Ori and the will of the wisps,https://www.youtube.com/watch?v=2reK8k8nwBc,Trailer
