,comment,Gioco,URL,Video
3,"The single greatest game I've ever played.  
And I've played them all.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
4,"This game actually feels like a movie... just how beautiful it looks, how realistic it can be at times, and how awesome the story is.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
5,"Real men come back to the trailer after finishing the game

Edit:how did I get that much likes",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
6,"2010: I want John not jack

2018: I want arthur not john",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
7,"""Sons of Dutch, that makes us brothers"" 

Sure Micah, sure.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
8,This was the first game that made me cry.,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
9,"After robbing a bank
Girls: We’re criminals
Boys: We’re not criminals, We’re Outlaws",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
10,"""Ladies and gentlemen this is a robbery""
I love when Dutch says that 🤣",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
11,When you realize the 2 graves Arthur is walking away from is his lover and his child😢,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
12,Remember how excited you were to see John Marston again. Then you finished the story and got to play as him and all you wanted was Arthur back...what an amazing game.,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
13,"Fans the day the game came out: No, I don't want this new protagonist, I want John back!!!

Rockstar: Wish granted",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
14,"I come back to this trailer every once and a while, mostly for the part right here: 01:08, that violin with those scenes is just perfect dude.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
15,"God of war: after 6 years its time to rule the gaming relm.
Rdr2: easy boii, easy there.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
16,"I dont wanna wait another 8 years for a masterpiece, but trust me, I will.

 RDR2 is the greatest video game of all time.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
17,This game has been out for almost two years and I still feel hyped when I watch the trailers! I wish rockstar remastered this for PS5 instead of gta 5 again,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
18,"""All of you venerate savagery
And you will die savagely""

He was right tho.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
19,"""Shows Arthur in Blackwater""
""Shows Milton in Blackwater talking to Dutch`s Gang before the massacre""
Person finds cut content
""We were gonna go to New Austin""",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
20,1:09 is that a young Arthur walking away from his dead lover and his child? Was there supposed to be a prologue before colter?,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
21,Looks beautiful!,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
22,"Rockstar , Naughty Dog and CD Projekt Red ",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
23,Anyone else miss the feeling of the hype before this game came out?,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
24,Im here to wash my eyes from  last of us 2,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
25,"After more than 2 years of playing this game, finish the story thrice and lvl 150 in rdo. I often come back to these trailers and still feel the same profound emotions from when it was brand new. Hands down the best game I have ever played. Thank you Rockstar for this masterpiece",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
26,THE BEST GAME OF ROCKSTAR,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
27,This needs to be a tv show with each chapter being a season,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
28,"rewatches trailer
Hosea: Good ol Dutch, my best friend
My heart sinked that moment",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
29,"How good of a tv show would this story make? With game of thrones level writing and budget, it would be the best thing on tv ever.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
30,"Everybody: we want john, we don’t want  this new character
R*: be careful with what you wish",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
31,"This is still one of the greatest videogames of all time.
No one can change my mind",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
32,"Love the Reverend's voice clips in this trailer. I'm on my second playthrough and he's pretty underrated as a character, this man goes through a whole arc in the background while we're out getting muney.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
33,"2020, and I still come back here. Watching this trailer gives me CHILLS every damn time. Over a year and no game I've played has come anywhere close to RDR2. The emotional connection I have to every one of these characters is insane. This is, and always will be, a masterpiece.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
34,Nearly two years on and this game is still a work of art. No movie could ever compare to this game. The influence this game has on so many people and the influence the first game has on so many childhoods will never be recreated.    Just imagine the power rockstar would have if they made Hollywood movies too.,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
35,I wish I could just go back in time and play this masterpiece again,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
36,"Idk why god of war was goty

I already finished it God of War 4
As well as RDR2 ",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
37,"I remember when everybody was clowning arthur from the second trailer of the game...but not me, i told everyone he was gonna special...no one believed me 😢",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
38,"""I don't talk about him much, but I think about him"" - John Marston",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
39,Even in 2020 still the best game ever created,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
40,"I remember all of us saying Who's this  guy? I don't want him, I want John.... And boah were we wrong
Edit: holy I never checked on this comment since I posted it and thank you all for over 3k likes",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
41,My whole family thought these were real actors. Thats just how good the graphics are,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
42,"I think we can all agree that after seeing 1:22, we thought that Arthur and Micah were going to have a good relationship. I can’t believe how much that was not the case.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
43,1:10 Bethesda selling us fallout 76 and introducing fallout 1st,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
44,In my opinion this game is better than gta 5 and call of duty modern warfare and fortnite and last of us 2,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
45,I have a weird emotional connection with this game. It is a true masterpiece.,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
46,"just imagine a tv-series of this game, it would be called ""morgan"" and the chapters of the game would be the seasons of the show. that would be mad",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
47,Ive been playing game sence 26th of October. Everyday. Two years later. The myateries. The world. That feeling of fast nevr ending plains. The feeling of something more... this game is the litteral refection of your love for story telling.,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
48,"Arthur - The Good.
Dutch- The Bad.
Micah- The Ugly.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
49,when an in-game footage trailer is better than all the cinematic trailers you've ever watched.,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
50,"RDR2 >> GTA 5

You can't change my mind",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
51,"i’ve  never been so emotionally attached to a game. i just got the game a couple months ago, and i’m dreading finishing it because i know what happens in the end :( i just know i’m gonna cry when i finish the game lol. the story, the dialogue, the animation, the details, just everything about rdr2 is beautiful. it’s by far my favourite game of all time.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
52,Listen i've completed the story mode atleast 10 times and currently working on the 11th and i just want to say this is such a masterpeice that to me it aint just a video game it is gold to me and i usually spend all day playing it the ending just hits hard i cried for a godamn month after completing the story mode the first time,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
53,When the British make better American games than America makes their own films,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
54,"1:08, Arthur's wife and son",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
55,Legends say Gavin’s friend is still looking for Gavin.,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
56,"""Sons of Dutch makes us brothers""  Love that phrase. I came here just to hear that",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
57,"I've played a lot of games, including most GTA games and most other big titles in the past 15 years, but I've never played a game as good as RDR2. If you haven't bought it yet, go buy it.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
58,"Rockstar, i have completed the storyline yesterday and the only thing i could say  is that you broke my heart, I love you!",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
59,"Looking back on this game, it’s a masterpiece, not just the world but the hints that rockstar has thought the story. Such as the cinematic ride back from Thomas downed ranch when Arthur gets TB, or the one I only noticed today, when riding to the first train robbery there is a cutscene and you can actually see the building Dutch and Micah are in the epilogue up on mount hagin.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
60,"EA and Activison: ""we have battle royale!""
Rockstar: ""we have a good game.""",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
61,This game brings GTA to its knees!,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
62,I know this map better than my home town...,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
63,i swear i still get hyped every time i watch this trailer even after having beaten the game multiple times,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
64,I remember before this masterpiece came out I wasn’t hyped for it because I used to think it would be nowhere near good enough as GTA 5... I was wrong,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
65,"""My Pa knew Landon Ricketts, friend!""",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
66,"This isn’t a game, it’s an experience - no words can describe the feelings you go through when you play this, what a work of art.",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
67,Arthur Morgan is Rockstars number one protagonist. Change my mind.,Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
68,"""You have got to keep faith.""",Red Dead Redemption 2,https://www.youtube.com/watch?v=eaW0tYpxyp0,Trailer
