,comment,Gioco,URL,Video
2,Finishing this game felt like losing a friend.,The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
3,"The only bad thing about this game is that it doesn't tell you what to do with your life after you beat the game %100
Best game ever
Edit: I made this comment and didn't check back. I was amazed when I saw I have 1.9k likes. Thank you :)",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
4,This trailer feels so emotional when you watch it after beating the game...,The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
5,"Games like this make you think, you'll never find a better one.",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
6,funny people ask for the song and no one says darude sandstorm. thats how epic this game is,The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
7,"I heard this song in The Walking Dead, waching this trailer back now is amazing!",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
8,Anyone else get teary-eyed watching this after beating the game?,The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
9,"This game is kinda bittersweet

it's amazing and goes above and beyond in almost every aspect
but there won't be another like it for a log time",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
10,Best game I have ever played...,The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
11,"I'm a Fallout fanboy, but even I admit, as great as I thought Fallout 4 was, it's nothing compared to this masterpiece.",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
12,"4 f**king years after release and watching this still gives me goosebumps. Will you ever let me go, Geralt?",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
13,"I just finished the game, hours and hours of gameplay. Clearing like 95% of the game. Now I'm depressed the story came to a close. 10/10 GOTY worhty.",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
14,"I just finished my first playthrough of the Witcher 3 and I have to say, it reminded me of why I play video games in the first place. I was fearing that a shift in my life was happening, as i've gotten older my free time has become more sparse and i've been hesitant to give it up to video games because no matter how flashy the graphics or the initial entry point into the created worlds, The glamour and effect of a new game has begun to wear off on me more and more rapidly. When I was younger my brother and I had a couple of shared experiences of playing together cooperatively on games that would takes us a year or more to complete. Through the trials and tribulations we became extremely immersed in the worlds these games created and fully invested in the characters. Finally completing them was a fully emotional experience (this only happened for us with two games. very rare indeed.) For a young kid with a big wide imagination stepping into another realm and exploring and questing was a dream come true and one I committed to very seriously and connected to. As i've grown older, I've been anywhere from casual to avid gamer throughout the past couple of years and though I've become no less willing to chase titles and try new experiences, the novelty of most games wears thin quickly and I have found most experiences mildly disappointing. After semi-bland experience to semi-bland experience I started to think of video games as mild sedatives (short reprieves from the 'real world' used until one becomes bored.) I'd forgotten what a true gaming experience was like, and had begun to fear that perhaps my childhood naivety was what made the experiences magic and not the games themselves (and to a certain degree that is true.) However, the Witcher 3 reminded me of what I had forgotten. It reminded me of why I play video games in the first place. A video game can be art, vast and enthralling and expansive, immersive, witty, fluid, challenging, chilling, and heartbreaking. I dove into the Witcher 3 and not only was it so beautifully crafted and rendered in its' voice acting, combat system, environments, plot and intrigue, but IT TOOK TIME. I have been obsessively playing the game for about a month and a half, relishing every last detail. And when the time came to part ways I, quite unexpectedly, welled up with tears. I waited until the end of the credits to the inevitable switch back to Geralt, and took a long last stroll through the empty ruins of Kaer Morrhen, found a nice rock by a stream in the woods and took a last pan of the environment, watching a flock of birds cross the sky, deer nibble on grass beside the riverbed, and clouds enshroud the tips of far-off mountain peaks. I watched Geralt watch the scene, knowing that I will most likely put this game away for a good long while while I digest it and move forward with my life, and I just soaked in the detail for a good moment before clicking my system off. Unforgettable experience. I will cherish it.",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
15,"When everyone says this game is a 10/10 deserver, IGN gives 9.3 when Everyone says MGSV was a 9/10 game Ign gives 10/10 -.-",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
16,"I think this is the only game where I've gone back and found every quest, every side location, I would not stop until I'd ticket off every single question mark on that map. By far my favourite game of all time.",The Witcher 3,https://www.youtube.com/watch?v=XHrskkHf958,Trailer
