,comment,Gioco,URL,Video
2,"Tony Hawk Pro Skater 1 and 2 Remake Walkthrough Gameplay Part 1 includes a Review and Campaign including Warehouse, School, Mall, Skate Park, Downtown, Downhill Jam, Burnside, Streets, Roswell of the Tony Hawk Pro Skater 1+2 Remake Single Player Story Campaign for PS4 Pro, Xbox One X and PC. This 2020 Tony Hawk Pro Skater 1 and 2 Remake Story Campaign Walkthrough will be the Full Game including a Review, Warehouse, Roswell, Chicago, Burnside, School, Downhill Jam, Streets, Downtown, Hangar, School II, Skate Heaven, Philadelphia, Chopper Drop, Skatestreet, Marseille, NY City, OST, Cut Scenes, Cinematics, Special Moves, All Characters, SKATE, COMBO, All Secret Tapes and more until the Ending of the Single Player Story.  Thanks Activision for giving me THPS 1+2 Remake!

Membership: ",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
3,Been looking forward to this and wasn’t even going to make a video but I figured why not! Loved these games growing up. Any support you drop is appreciated and I will have more Avengers first thing tomorrow fam,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
4,I just got my ass kicked by my 48 year old dad at this game today thats the last time I ever underestimate him again,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
5,"Ok, was it just me or did anyone else get the “jam pack” demo from Pizza Hut as a kid, stayed up all night playing Tony Hawks demo!",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
6,Who else played Tony hawk America wastland???,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
7,Tony hawks American waste land was dangerously underrated wish they remade that one,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
8,Now they need to remake Tony Hawk UnderGround that game was also such a good part of my child hood being kidnapped by Bam an thrown in the VAn 😂😂 Project 8 was also really good I remember you could do tricks in slow motion an it would zoom in on the board kind of Like Skate,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
9,"""I need to remember how to do that."" said everyone who's played this",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
10,"favorite is american wasteland, and thug 1 and 2.",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
11,"Brad-""How did I miss that??""
We've been asking ourselves that for a looonng time buddy, lol.",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p4_EH56mHQc,Gameplay
