,comment,Gioco,URL,Video
2,"“We’ve run out of ideas, just give them what they wanted.”

FINALLY!",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
3,Hoping this game crushes in sales so we can inch toward that THUG remake.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
4,"You call that ""remastered"" but that's exactly how I remember it was like when I was 7",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
5,Hopefully they kept the guy farting and flushing the toilet on the school level by the bathrooms.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
6,U know what woulda made this commercial 10 times better is when hey showed “classic skaters” they just quickly shuffle past Spiderman and Shrek,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
7,The soundtracks that helped u cope with your mom and dad's divorce.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
8,"""They said the age of skate punk will never come again ""
Tony Hawk:""It has to""",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
9,"""So here I am, doin' everything I can...""",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
10,I have a feeling that everything from my childhood is going to be remade lol. The next 25years is basically going to be the millennial nostalgia era,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
11,"The music, the feeling, EVERYTHING about games back then was so innovative and unique, so much style and originality!",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
12,"i remember playing this and not even doing the missions, just skating and doing tricks for hours lol",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
13,I can't wait for this game to come out.  I also hope they make a remastered version of Matt Hoffman Pro BMX.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
14,"Aaaaah, weed, pizza, beers, friends and this game. It's gonna be a nice september.",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
15,90s kid here. Imagine we had those graphics back in the day,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
16,Man I wish they had 3 in this as well...,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
17,I don’t even have a PS4 and I’ve been watching this 6 times already.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
18,Not even a 90s kid but feel like this is gonna be f*cking sick,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
19,Finally something incredible to come out of 2020,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
20,"‘If you see boys skateboarding, don’t interfere’

-Jordan Peterson",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
21,This was such a no-brainer. Re-release the two most successful skating games of all time with modern graphics and online multiplayer? Easy money. Surprised they didn't do it sooner.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
22,Whenever I hear the songs from the soundtrack of those games my imagination just adds in the beeping of the clock counting down the end of the session.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
23,The nostalgia of getting ripped with my friends and playing this for hours. Now I have no friends and dont smoke weed anymore. Wtf am I to do?,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
24,"Playing this like it's going to be the early 2000's nostalgia lol. I'm going to order pizza hut when I play this and if only they can put out pizza hut ""New York"" style then it will be official lol. 😂👌👍😋 My childhood will be made once again in 2020.",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
25,"Well guys, this is the closes thing we’ll ever get to a Skate 4. And I’m not dissatisfied.",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
26,Somehow my memories of this game are already in 4K.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
27,Tony Hawk has finally had enough of people thinking he looks like Tony Hawk.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
28,"Surprisingly, nostalgia is actually hitting with this one !",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
29,"If there’s cameo of Tony driving by and yelling “Hey, DO A KICKFLIP!!!” It’d definitely seal the deal for me. (I’m not a skater in real life but I’ve always enjoyed playing skating games.)",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
30,This opens the door for THUG & THUG 2 remasters 😭😭 and hopefully a brand new THUG3,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
31,I feel like i'm playing more remakes of PS1 games this gen than new games.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
32,The days when trying to hit every rail and make every trick as one large combo to get the highest score. Most frustrating but so much rewarding once made it,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
33,Jesus Christ I love the Dead Kennedy's.,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
34,I was literally just playing 1+2 the other day. That soundtrack still hits 🔥,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
35,"If this does well, and I believe it will, I would love to have a remake of 3.",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
36,Skateboarders Looking at the Noose in their room: “Not Today Old Friend”,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
37,"Just do everything opposite of what was done in Tony Hark 5, and this game will be great.",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
38,I really hope they make a THUG 2 Remaster cuz I love that game so much. That game is a part of my childhood. THUG 2... ahh the memories :'),Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
39,this is exactly what everybody has been waiting for since forever. do this with thps 3 and 4 also,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
40,"Remasters of tony hawk underground and etc rely on how well this game does
So support it!!",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
41,This is what I’m talking about,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
42,"Showed this to my son and he said he wants it when it comes out. Finally, his generation will play a game my generation grew up with.",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
43,"high af right now, just asked myself how old you guys are right now? i never imagined this but yall must be between like 20 to 25 right ? to have experienced this nostalgia of this and thug.",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
44,"my brother would love to play it again, I'll buy it and finish it in his your memory",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
45,THERE YOU GO HAWK. I was literally waiting for this to happen!! 🤍,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
46,"Finally, all of my old cheat code books from elementary school still have a use...",Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
47,I can't stop rewatching this every day,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
48,Now I have to take my son ps4 away from and play this for hours ....I remember the first demo from Pizza hut 😂  🤙🤙🤙 birdhouse shortys zero and other come back,Tony Hawk Pro Skate 1+2,https://www.youtube.com/watch?v=p0mNQxLUHyg,Trailer
