,comment,Gioco,URL,Video
2,"Watch the launch trailer for Marvel's Spider-Man: Miles Morales, available on PlayStation 5 and PlayStation 4 on November 12, 2020.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
3,This game is gonna be 🔥,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
4,“Don’t trust anyone and definitely don’t take off that mask” really applies to everyone in 2020 right now 😂,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
5,NO ONE talk to me when this drop,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
6,I will buy their game when they fix this damn door!!!!!,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
7,"1:59
“Anyone can wear the mask”
Cat: “My time has come”",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
8,I knew from the moment I saw the blonde guy he is a villain.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
9,I’m so excited for this game. It’s gonna be great.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
10,“Every time I think I got this Spider-Man thing figured out something goes wrong”. That is the most Spider-Man thing he coulda said.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
11,"Dear Sony, 
How many times do we have to fight Rhino ?!",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
12,"“A hero is someone who doesn’t give up...”
Be yourself!!!",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
13,"Peter at the end of the game be like: “Hey miles, did I miss anything- oh, it looks like half of NY is destroyed”.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
14,We all know were gonna see this in ads later on in a couple of months.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
15,I bet they'll have a green goblin teaser at the end of the game,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
16,"The song is ""This is my Time - Lecrae""",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
17,"Me: waiting for ps5 even though I can’t afford it 
🙃 edit:(yeah I don’t own a ps4 either I’m on pc 🙃 ) (can you get it on pc?)",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
18,It honestly looks like a movie trailer instead of a video game trailer,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
19,"When you talk about Spider-Man, you always mean Peter. You’re Spider-Man Miles. You can save this city. Your way.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
20,Who is still waiting for his next movie??,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
21,"I was doing my ""homework""  but this seemed more important.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
22,"1:37 Remember, Roxxon said they would, “handle,” Rhino. So it seems like they might use him as a weapon.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
23,"Look at insomniac man, so inspirational",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
24,I can’t wait for this game I played the first one 5 times,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
25,Another masterpiece by insomniac,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
26,"This is like the third time you guys showed the trailer, stop teasing me i can't wait for the game.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
27,Imagine prowler fight side by side with miles 😱,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
28,"""Don't trust anybody, and don't take off that mask!""

-way to sum up 2020",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
29,Oh yes please! Lets get this party started!,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
30,I’m in love with this game and I haven’t played a second of it lol,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
31,We are just three days away guys from having this game in our home!,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
32,that moment when peter looks younger than miles,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
33,This games looks amazing!!!,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
34,"When Miles is in invisible mode, he will be like: ""You can't see me my time is now"".",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
35,1:04 he does seem to look like eddie brock/ Venom in spider man 3,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
36,The thumbnail looks like he's giving someone the dirty finger.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
37,At this point there’s no competition for ps5,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
38,"""Our family doesn't run from things Miles.""

Rio Morales  Spider-Man Into The Spider-Verse.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
39,I’m so hyped for this game,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
40,Sunflower by post malone and On my own by jaden gonna be main spotify songs for  me while playing it,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
41,just imagine stomping out the enemies with some timbs,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
42,This looks like it’s was from a movie I am not lying for real,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
43,"Mile's mom Better say ""Our Family doesn't Run from things Miles"" sometime during the game.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
44,"Sony: PS5 has no limits! 
Me: Apparently their pre-orders are the limit...",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
45,peter picked a bad time to go off with mj. luckily he has miles.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
46,Ive already saw the trailer earlier today im mega hyped tho its bouta smack,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
47,Legit might get a playstation just for this game.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
48,"I’m guessing Miles will have to deal with both Roxxon and The Underground, like they are the two extremes in New York. The Prowler could be a major henchman for one of the groups turned anti-hero of sorts, helping Miles and ultimately sacrificing himself for character development. That’s my guess.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
49,Nov 12th: sick leave! 🔥,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
50,"Trailer exists
IGN: Hipity Hopity
This is now my property",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
51,"I really want a scene where miles goes and sits down at the top of a building,tired as hell,he picks up his phone and calls peter and he gets an inspirational speech or something like that,idk why but i just want one",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
52,At first I thought this was a movie before I clicked on it,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
53,“I’m not scared of the dark I’m not running running running running no I’m not afraid of the fall”,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
54,"I played this in a Ps5 preview and I love it, the scene where Miles’ s mom is helping The tinkerer it was so breathtaking",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
55,"This is why you get playstation. The exclusives. Im getting a pc cause of performance, but this is insane
Edit: How will they bring back uncharted?",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
56,Can we all just appreciate the soundtrack it do be 🔥,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
57,The way that guy described how Miles is living in the shadow of Peter makes me understand more how Wally must feel about Barry after he takes up the mantle of Flash,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
58,"Simon kreiger/movie eddie brock
Knew this guy would be a bad guy
Roxxon vs underground 
This is like a sable vs demons. ",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
59,Yess I was hoping miles and Aaron know each other’s secret identity but still have a cool relationship,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
60,1:04 that dude looks exactly like Homelander,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
61,You know this is gonna be on everyone’s recommendation after 5 years,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
62,The ending with the cat really got me interested,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
63,These graphics look amazing!,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
64,"I'll never forget when I got the first Miles Morales comic in 2011. It was awesome! I never would have thought that not even 10 years later he would have his own movie and game though. For those who haven't read his comics yet, I highly recommend it. And to all you other OG's who got the comic when it came out, isn't it crazy? Lol",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
65,"""throws my empty wallet on my smart tv""",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
66,"0:39 lay low my people, don't trust anybody and don't take off you mask during this 2020 pandamic",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
67,"What are the odds, Miles Morales Game version resembles Lecrae, and they have Lecrae do Launch trailer music.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
68,"Miles & Peter sitting on a rooftop with their masks off 
Little Suzy with her binoculars: 👁👄👁",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
69,I just got chills man 😂🔥🔥,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
70,"Me: Clicks on trailer for a spiderman game.
Reagan: IS THE THREAT REAL?",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
71,"omg! merodeador is here!! do u remenber ""spidey: friend or foe"" is that really   A M E I S I N G ! xd 0% sarcasmo hehe",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
72,"I've been preparing for this game and others this month. Making sure all work is done, room and gaming area clean, and lots of beer",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
73,I’m so excited for this game yet I can’t even buy it 😔,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
74,"When I saw Krieger, I legit thought he was Eddie Brock—",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
75,I sure as hell hope there's an option to change Peter's goddamn face.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
76,The music they choose for these trailers... PERFECT 👌,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
77,"Valhalla comes out at midnight, this comes out tmm midnight, and then there’s Black Cops: Cold War. I can only play one thing at a time. 😩",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
78,All I'm gonna say is post malone and swae Lee - sunflower is gonna be blowing up again hats off to insomniac games this game is beautiful 🕷️🕸️🕷️,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
79,"“Everytime you say spider man you’re talking about the other one, YOU’RE SPIDER-MAN” was a fantastic line. This game is gonna be straight heat",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
80,"""you wont. it`s a leap of faith thats all it is,miles""",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
81,BRO IF ONLY YOU COULD GO INTO FIRST-PERSON DURING FREE ROAM. THAT WOULD BE SO FIRE!!!,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
82,Watched this on 10 different channels notice something new each time,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
83,"""que guapo""
""Gracias mami""",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
84,"When his friend said ""Whenever you say Spider-man you think of the other one, you're spider-man"" that kinda hit me too cuz I do the same thing. I'm sure I'll have a new perspective when I play this.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
85,1:14 Also there is a new image of The Tinkerer. Pointing her weapon at Miles,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
86,I’m hyped for this,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
87,"So obviously “my time my time”, original game looks more funny and deeper",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
88,Can’t wait for the soundtrack 👌🏻🔥🔥,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
89,Phew boy. this the one right here!,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
90,Soundtrack gonna be 🔥🔥,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
91,ngl this was kind of a messy trailer.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
92,1:59 I think I recognize that cat hmmmm.... IT'S A FLERKEN!!!,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
93,"1:36
Appears to be a roxxcom powered rhino!",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
94,This game is gonna be crap just like the previous one,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
95,This is the game the freaking planet needs to play,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
96,This is gonna be interesting since in the comics Miles had to fill Peters shoes after his death but this one is getting trained by Parker,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
97,"I'm sure it will nominate for goty Along with ghost of tsushima and Assassin's creed Valhalla 
Any one agree with me
✋👇.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
98,"Whether Miles Morales does wear his causal clothes or not which’s his black and red costume, he still is an awesome character as Spider-Man of Brooklyn and Harlem in NYC 🕸🕷",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
99,This Litterally Looks More Like A Movie Trailer instead of a game Trailer,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
100,Anyone else gonna play on spectacular when this comes out?,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
101,"Wow, the first 5 seconds are like movie trailers. Show few clips, then jump into he trailer.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
102,Man this was actually like a movie trailer. Games are incredible.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
103,"I'm so excited 
Even though I can't afford it :'(",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
104,they really told us the whole story in this trailer,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
105,i knew that blonde guy would be a villain and aaron davies looks sick,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
106,"Whenever you say spider man You always mean the other one you’re spider man . 
Be yourself 
Kinda seeing a connection",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
107,Wish I could’ve secured a ps5 to play this on that for the first time.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
108,"my brain is telling me switch to xbox this year, but my heart and loyalty says other wise. smh",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
109,I heard a rumor that juggernaut is the final boss.,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
110,Me waiting for ps5 when I didn’t get a preorder 🥲🥲🥲,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
111,"""Be yourself""

Peter.",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
112,This game is going to be very lit but I have to admit Roxxon vs the Underground is basically sable vs demons all over again,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
113,"whats the song at the end of the trailer
im pretty sure its travis scott but i couldnt find any song on spotify
is it out",Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
114,Me trying to whatch this trailer with 1080p,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
115,1:02 He doesn’t need your approval,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
116,Im so excited for this game and I don't even know if im getting it lmao,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
117,From the looks of this it looks like this will make the jet engine on my ps4 even better..,Spiderman Miles Morales,https://www.youtube.com/watch?v=U-1cn1yOKYc,Trailer
